p2;M
2.37684;1.68598
2.42103;1.68309
2.46604;1.68018
2.51189;1.67724
2.55859;1.67427
2.60615;1.67127
2.65461;1.66825
2.70396;1.6652
2.75423;1.66212
2.80543;1.65901
2.85759;1.65587
2.91072;1.65271
2.96483;1.64952
3.01995;1.64631
3.0761;1.64307
3.13329;1.63981
3.19154;1.63652
3.25087;1.63321
3.31131;1.62988
3.37287;1.62653
3.43558;1.62315
3.49945;1.61976
3.56451;1.61634
3.63078;1.6129
3.69828;1.60944
3.76704;1.60595
3.83707;1.60245
3.90841;1.59893
3.98107;1.59539
4.05509;1.59183
4.13048;1.58826
4.20727;1.58468
4.28549;1.58108
4.36516;1.57746
4.44631;1.57383
4.52898;1.57019
4.61318;1.56653
4.69894;1.56287
4.7863;1.55919
4.87528;1.55549
4.96592;1.55179
5.05825;1.54808
5.15229;1.54436
5.24807;1.54064
5.34564;1.53691
5.44503;1.53318
5.54626;1.52944
5.64937;1.52569
5.7544;1.52194
5.86138;1.51819
5.97035;1.51444
6.08135;1.51068
6.19441;1.50692
6.30957;1.50317
6.42688;1.49941
6.54636;1.49566
6.66807;1.49191
6.79204;1.48816
6.91831;1.48442
7.04693;1.48068
7.17794;1.47695
7.31139;1.47322
7.44732;1.4695
7.58578;1.46579
7.72681;1.46208
7.87046;1.45839
8.01678;1.4547
8.16582;1.45103
8.31764;1.44736
8.47227;1.44371
8.62979;1.44007
8.79023;1.43643
8.95365;1.43282
9.12011;1.42921
9.28966;1.42562
9.46237;1.42204
9.63829;1.41848
9.81748;1.41494
10.0925;1.40964
10.1859;1.40789
10.2802;1.40614
10.3753;1.40439
10.4713;1.40264
10.5682;1.4009
10.666;1.39917
10.7647;1.39744
10.8643;1.39571
10.9648;1.39399
11.0662;1.39227
11.1686;1.39056
11.272;1.38885
11.3763;1.38715
11.4815;1.38545
11.5878;1.38375
11.695;1.38206
11.8032;1.38038
11.9124;1.37869
12.0226;1.37702
12.1339;1.37535
12.2462;1.37368
12.3595;1.37202
12.4738;1.37036
12.5893;1.36871
12.7057;1.36706
12.8233;1.36541
12.942;1.36378
13.0617;1.36214
13.1826;1.36051
13.3045;1.35889
13.4276;1.35727
13.5519;1.35566
13.6773;1.35405
13.8038;1.35245
13.9316;1.35085
14.0605;1.34925
14.1906;1.34767
14.3219;1.34608
14.4544;1.3445
14.5881;1.34293
14.7231;1.34136
14.8594;1.3398
14.9968;1.33824
15.1356;1.33669
15.2757;1.33514
15.417;1.3336
15.5597;1.33206
15.7036;1.33053
15.8489;1.329
15.9956;1.32748
16.1436;1.32596
16.293;1.32445
16.4437;1.32294
16.5959;1.32144
16.7494;1.31995
16.9044;1.31846
17.0608;1.31697
17.2187;1.31549
17.378;1.31402
17.5388;1.31255
17.7011;1.31108
17.8649;1.30962
18.0302;1.30817
18.197;1.30672
18.3654;1.30528
18.5353;1.30384
18.7068;1.30241
18.8799;1.30098
19.0546;1.29956
19.2309;1.29814
19.4089;1.29673
19.5884;1.29533
19.7697;1.29393
19.9526;1.29253
20.1372;1.29114
20.3236;1.28976
20.5116;1.28838
20.7014;1.28701
20.893;1.28564
21.0863;1.28428
21.2814;1.28292
21.4783;1.28157
21.677;1.28023
21.8776;1.27889
22.08;1.27756
22.2844;1.27623
22.4905;1.27491
22.6986;1.27359
22.9087;1.27228
23.1206;1.27098
23.3346;1.26968
23.5505;1.26839
23.7684;1.2671
23.9883;1.26582
24.2103;1.26455
24.4343;1.26328
