p2;A
21.677;0.992951
21.8776;0.992486
22.08;0.992025
22.2844;0.991568
22.4905;0.991114
22.6986;0.990664
22.9087;0.990217
23.1206;0.989774
23.3346;0.989334
23.5505;0.988898
23.7684;0.988465
23.9883;0.988036
24.2103;0.98761
24.4343;0.987187
24.6604;0.986768
24.8886;0.986353
25.1189;0.98594
25.3513;0.985531
25.5859;0.985126
25.8226;0.984724
26.0615;0.984325
26.3027;0.983929
26.5461;0.983537
26.7917;0.983147
27.0396;0.982761
27.2898;0.982379
27.5423;0.981999
27.7971;0.981622
28.0543;0.981249
28.3139;0.980878
28.5759;0.980511
28.8403;0.980147
29.1072;0.979785
29.3765;0.979427
29.6483;0.979071
29.9226;0.978719
30.1995;0.978369
30.4789;0.978022
30.761;0.977678
31.0456;0.977336
31.3329;0.976997
31.6228;0.976661
31.9154;0.976327
32.2107;0.975996
32.5087;0.975668
32.8095;0.975341
33.1131;0.975017
33.4195;0.974696
33.7287;0.974377
34.0408;0.97406
34.3558;0.973745
34.6737;0.973432
34.9945;0.973122
35.3183;0.972813
35.6451;0.972506
35.9749;0.972202
36.3078;0.971899
36.6438;0.971598
36.9828;0.971298
37.325;0.971001
37.6704;0.970704
38.0189;0.97041
38.3707;0.970117
38.7258;0.969825
39.0841;0.969535
39.4457;0.969246
39.8107;0.968958
40.1791;0.968671
40.5509;0.968386
40.9261;0.968101
41.3048;0.967818
41.6869;0.967535
42.0727;0.967253
42.462;0.966973
42.8549;0.966693
43.2514;0.966413
43.6516;0.966134
44.0555;0.965856
44.4631;0.965579
44.8745;0.965302
45.2898;0.965025
45.7088;0.964749
46.1318;0.964473
46.5586;0.964198
46.9894;0.963922
47.4242;0.963647
47.863;0.963372
48.3059;0.963098
48.7528;0.962823
49.204;0.962549
49.6592;0.962274
50.1187;0.962
50.5825;0.961725
51.0505;0.961451
51.5229;0.961176
51.9996;0.960902
52.4807;0.960627
52.9663;0.960352
53.4564;0.960077
53.9511;0.959802
54.4503;0.959527
54.9541;0.959251
55.4626;0.958976
55.9758;0.9587
56.4937;0.958424
57.0164;0.958148
57.544;0.957872
58.0764;0.957596
58.6138;0.957319
59.1562;0.957042
59.7035;0.956766
60.256;0.956489
60.8135;0.956212
61.3762;0.955935
61.9441;0.955658
62.5173;0.955381
63.0957;0.955104
63.6796;0.954827
64.2688;0.95455
64.8634;0.954273
65.4636;0.953997
66.0693;0.95372
66.6807;0.953444
67.2977;0.953168
67.9204;0.952892
68.5488;0.952617
69.1831;0.952342
69.8232;0.952067
70.4693;0.951793
71.1214;0.95152
71.7794;0.951247
72.4436;0.950974
73.1139;0.950702
73.7904;0.950431
74.4732;0.950161
75.1623;0.949892
75.8578;0.949623
76.5597;0.949355
77.2681;0.949089
77.983;0.948823
78.7046;0.948558
79.4328;0.948295
80.1678;0.948033
80.9096;0.947771
81.6582;0.947512
82.4138;0.947253
83.1764;0.946996
83.946;0.946741
84.7227;0.946487
85.5067;0.946234
86.2979;0.945984
87.0964;0.945735
87.9023;0.945487
88.7156;0.945241
89.5365;0.944998
90.3649;0.944756
91.2011;0.944516
92.045;0.944278
92.8966;0.944042
93.7562;0.943808
94.6237;0.943576
95.4993;0.943346
96.3829;0.943119
97.2747;0.942893
98.1748;0.942671
99.0832;0.94245
100;0.942231
100.925;0.942015
101.859;0.941802
102.802;0.941591
103.753;0.941382
104.713;0.941176
105.682;0.940972
106.66;0.940771
107.647;0.940573
108.643;0.940377
109.648;0.940184
110.662;0.939993
111.686;0.939805
112.72;0.93962
113.763;0.939437
114.815;0.939257
115.878;0.93908
116.95;0.938905
118.032;0.938733
119.124;0.938564
120.226;0.938397
121.339;0.938234
122.462;0.938073
123.595;0.937914
124.738;0.937758
125.893;0.937605
127.057;0.937455
128.233;0.937307
129.42;0.937162
130.617;0.93702
131.826;0.93688
133.045;0.936743
134.276;0.936609
135.519;0.936477
136.773;0.936347
138.038;0.93622
139.316;0.936096
140.605;0.935974
141.906;0.935854
143.219;0.935737
144.544;0.935622
145.881;0.93551
147.231;0.9354
148.594;0.935292
149.968;0.935187
151.356;0.935083
152.757;0.934982
154.17;0.934883
155.597;0.934786
157.036;0.934691
158.489;0.934599
159.956;0.934508
161.436;0.934419
162.93;0.934332
164.437;0.934247
165.959;0.934164
167.494;0.934082
169.044;0.934003
170.608;0.933925
172.187;0.933848
173.78;0.933774
175.388;0.933701
177.011;0.933629
178.649;0.933559
180.302;0.93349
181.97;0.933423
183.654;0.933357
185.353;0.933293
187.068;0.93323
188.799;0.933168
190.546;0.933107
192.309;0.933048
194.089;0.932989
195.884;0.932932
197.697;0.932876
199.526;0.932821
201.372;0.932767
203.236;0.932713
205.116;0.932661
207.014;0.93261
208.93;0.932559
210.863;0.932509
212.814;0.93246
214.783;0.932412
216.77;0.932365
218.776;0.932318
220.8;0.932272
222.844;0.932227
224.905;0.932182
226.986;0.932138
229.087;0.932094
231.206;0.932051
233.346;0.932008
235.505;0.931966
237.684;0.931925
239.883;0.931884
242.103;0.931843
244.343;0.931803
246.604;0.931763
248.886;0.931723
251.189;0.931684
253.513;0.931645
255.859;0.931606
258.226;0.931568
260.615;0.93153
263.027;0.931492
265.461;0.931455
267.917;0.931418
270.396;0.931381
272.898;0.931344
275.423;0.931308
277.971;0.931271
280.543;0.931235
283.139;0.931199
285.759;0.931163
288.403;0.931128
291.072;0.931092
293.765;0.931057
296.483;0.931022
299.226;0.930987
301.995;0.930952
304.789;0.930917
307.61;0.930883
310.456;0.930848
313.329;0.930814
316.228;0.930779
319.154;0.930745
322.107;0.930711
325.087;0.930677
328.095;0.930643
331.131;0.930609
334.195;0.930575
337.287;0.930541
340.408;0.930508
343.558;0.930474
346.737;0.930441
349.945;0.930407
353.183;0.930374
356.451;0.93034
359.749;0.930307
363.078;0.930274
