p2_real;p2_imag;M_real;M_imag
57.2063;-1;0.00239711;1.39103e-05
58.4316;-1;0.0023804;1.3385e-05
59.6832;-1;0.00236398;1.28811e-05
60.9616;-1;0.00234783;1.23976e-05
62.2673;-1;0.00233195;1.19334e-05
63.6011;-1;0.00231635;1.14874e-05
64.9634;-1;0.002301;1.10587e-05
66.3548;-1;0.00228591;1.06463e-05
67.7761;-1;0.00227106;1.02495e-05
69.2279;-1;0.00225647;9.8675e-06
70.7107;-1;0.00224212;9.49951e-06
72.2253;-1;0.00222801;9.14491e-06
73.7723;-1;0.00221413;8.80308e-06
75.3524;-1;0.00220049;8.47343e-06
76.9665;-1;0.00218707;8.15545e-06
78.615;-1;0.00217389;7.84863e-06
80.2989;-1;0.00216093;7.55252e-06
82.0189;-1;0.00214819;7.2667e-06
83.7757;-1;0.00213567;6.99077e-06
85.5701;-1;0.00212337;6.72437e-06
87.403;-1;0.00211128;6.46715e-06
89.2751;-1;0.00209941;6.21882e-06
91.1873;-1;0.00208776;5.97906e-06
93.1405;-1;0.00207631;5.74761e-06
95.1355;-1;0.00206507;5.5242e-06
97.1733;-1;0.00205404;5.3086e-06
99.2547;-1;0.00204321;5.10057e-06
101.381;-1;0.00203258;4.8999e-06
103.552;-1;0.00202215;4.70637e-06
105.77;-1;0.00201193;4.51978e-06
108.036;-1;0.00200189;4.33995e-06
110.35;-1;0.00199205;4.1667e-06
112.713;-1;0.00198241;3.99985e-06
115.128;-1;0.00197295;3.83922e-06
117.594;-1;0.00196367;3.68465e-06
120.112;-1;0.00195458;3.53598e-06
122.685;-1;0.00194567;3.39303e-06
125.313;-1;0.00193694;3.25566e-06
127.997;-1;0.00192838;3.1237e-06
130.739;-1;0.00191999;2.99699e-06
133.539;-1;0.00191177;2.87538e-06
136.399;-1;0.00190372;2.75873e-06
139.321;-1;0.00189582;2.64687e-06
142.305;-1;0.00188809;2.53966e-06
145.353;-1;0.00188051;2.43694e-06
148.467;-1;0.00187307;2.33856e-06
151.647;-1;0.00186579;2.24438e-06
154.895;-1;0.00185865;2.15424e-06
158.213;-1;0.00185165;2.068e-06
161.602;-1;0.00184478;1.98552e-06
165.063;-1;0.00183805;1.90664e-06
168.599;-1;0.00183144;1.83124e-06
172.21;-1;0.00182496;1.75917e-06
175.899;-1;0.0018186;1.69028e-06
179.666;-1;0.00181236;1.62445e-06
183.515;-1;0.00180623;1.56155e-06
