p2_real;p2_imag;A_real;A_imag
7.80291;-1;1.06971;0.0136191
7.97004;-1;1.06749;0.01318
8.14076;-1;1.06529;0.0127234
8.31513;-1;1.06314;0.0122496
8.49323;-1;1.06105;0.0117867
8.67515;-1;1.05902;0.0113643
8.86097;-1;1.057;0.0109831
9.05077;-1;1.055;0.0106282
9.24463;-1;1.053;0.0102842
9.44264;-1;1.05101;0.00993912
9.6449;-1;1.04905;0.00958692
9.85149;-1;1.04713;0.00923281
10.0625;-1;1.04526;0.00889194
10.278;-1;1.04342;0.00857583
10.4982;-1;1.0416;0.00828357
10.723;-1;1.03979;0.00800613
10.9527;-1;1.038;0.00773363
11.1873;-1;1.03623;0.00746022
11.427;-1;1.03449;0.00718735
11.6717;-1;1.03278;0.00692276
11.9217;-1;1.03111;0.00667362
12.1771;-1;1.02946;0.00644059
12.4379;-1;1.02783;0.00621849
12.7043;-1;1.02621;0.00600099
12.9764;-1;1.02462;0.00578497
13.2544;-1;1.02305;0.00557244
13.5383;-1;1.02151;0.00536826
13.8283;-1;1.02;0.00517544
14.1245;-1;1.01851;0.00499268
14.427;-1;1.01703;0.00481598
14.736;-1;1.01558;0.00464228
15.0517;-1;1.01415;0.00447171
15.3741;-1;1.01275;0.00430694
15.7034;-1;1.01137;0.00415016
16.0397;-1;1.01001;0.00400089
16.3833;-1;1.00866;0.00385671
16.7342;-1;1.00734;0.00371567
17.0926;-1;1.00604;0.00357796
17.4587;-1;1.00476;0.00344522
17.8327;-1;1.00351;0.00331847
18.2147;-1;1.00227;0.00319695
18.6048;-1;1.00105;0.00307908
19.0033;-1;0.999849;0.00296409
19.4104;-1;0.998671;0.0028526
19.8261;-1;0.997513;0.00274551
20.2508;-1;0.996373;0.0026428
20.6845;-1;0.995253;0.00254356
21.1276;-1;0.994151;0.00244704
21.5801;-1;0.993069;0.00235343
22.0424;-1;0.992006;0.00226329
22.5145;-1;0.990962;0.0021767
22.9968;-1;0.989936;0.00209309
23.4893;-1;0.988928;0.00201201
23.9925;-1;0.987938;0.00193358
24.5064;-1;0.986967;0.00185813
25.0313;-1;0.986014;0.00178561
25.5674;-1;0.985078;0.00171567
26.1151;-1;0.984159;0.00164811
26.6745;-1;0.983258;0.00158308
27.2458;-1;0.982374;0.00152072
27.8294;-1;0.981506;0.00146088
28.4255;-1;0.980655;0.00140338
29.0343;-1;0.979819;0.00134818
29.6562;-1;0.978999;0.0012954
30.2915;-1;0.978194;0.00124503
30.9403;-1;0.977404;0.0011969
31.603;-1;0.976628;0.00115096
32.2799;-1;0.975865;0.00110725
32.9713;-1;0.975115;0.00106575
33.6776;-1;0.974378;0.00102636
34.3989;-1;0.973653;0.00098901
35.1357;-1;0.972939;0.000953685
35.8883;-1;0.972235;0.00092035
36.657;-1;0.971541;0.000888904
37.4422;-1;0.970855;0.00085927
38.2442;-1;0.970179;0.000831408
39.0634;-1;0.969509;0.000805246
39.9001;-1;0.968847;0.000780681
40.7547;-1;0.96819;0.000757635
41.6277;-1;0.967539;0.000736038
42.5193;-1;0.966893;0.000715796
43.43;-1;0.96625;0.000696808
44.3603;-1;0.965611;0.000678993
45.3105;-1;0.964974;0.000662261
46.281;-1;0.96434;0.000646514
47.2723;-1;0.963707;0.000631659
48.2848;-1;0.963075;0.000617612
49.3191;-1;0.962443;0.000604283
50.3755;-1;0.961812;0.000591581
51.4545;-1;0.96118;0.000579428
52.5566;-1;0.960549;0.000567744
53.6823;-1;0.959916;0.000556452
54.8322;-1;0.959283;0.000545481
56.0067;-1;0.958649;0.000534768
57.2063;-1;0.958013;0.000524249
58.4316;-1;0.957378;0.000513869
59.6832;-1;0.956741;0.000503579
60.9616;-1;0.956104;0.000493333
62.2673;-1;0.955466;0.000483093
63.6011;-1;0.954829;0.000472826
64.9634;-1;0.954192;0.000462502
66.3548;-1;0.953556;0.000452099
67.7761;-1;0.952921;0.000441601
69.2279;-1;0.952287;0.000430993
70.7107;-1;0.951656;0.000420269
72.2253;-1;0.951028;0.000409424
73.7723;-1;0.950403;0.00039846
75.3524;-1;0.949782;0.00038738
76.9665;-1;0.949166;0.000376194
78.615;-1;0.948555;0.000364911
80.2989;-1;0.94795;0.000353545
82.0189;-1;0.947352;0.000342113
83.7757;-1;0.946761;0.000330632
85.5701;-1;0.946178;0.000319123
87.403;-1;0.945604;0.000307606
89.2751;-1;0.945039;0.000296105
91.1873;-1;0.944484;0.000284643
93.1405;-1;0.943939;0.000273243
95.1355;-1;0.943406;0.000261929
97.1733;-1;0.942883;0.000250726
99.2547;-1;0.942373;0.000239656
101.381;-1;0.941875;0.000228742
103.552;-1;0.94139;0.000218008
105.77;-1;0.940919;0.000207474
108.036;-1;0.94046;0.000197161
